Fecha:,12/11/2023 12:00,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasóleo A,Precio gasóleo B,Precio gasóleo de uso marítimo,Rótulo,Horario
PONTEVEDRA,CANGAS,CANGAS,36940,PUERTO DE CANGAS S/N,,,1.679,,1.699,850.000,,COMBUSTIBLES PUERTO DE CANGAS,L-V: 08:30-14:00 y 16:30-19:30; S: 10:00-14:00
PONTEVEDRA,ILLA DE AROUSA (A),ISLA DE AROSA,36626,MUELLE DO XUFRE S/N,-8.868250,42.565556,1.769,,1.679,900.000,,GALP,L: 08:00-20:00
PONTEVEDRA,MOAÑA,MOAÑA,36950,MUELLE PESQUERO S/Nº,-8.735126,42.274931,,,,783.000,,REPSOL,L-D: 24H
PONTEVEDRA,SANXENXO,SANXENXO,36960,AVENIDA AUGUSTO GONZALEZ BESADA S/N,-8.804015,42.395292,1.890,,1.890,,,REPSOL,L-D: 10:00-13:30 y 16:00-19:00
PONTEVEDRA,SANXENXO,PORTONOVO,36970,MUELLE COMERCIAL S/Nº,-8.817778,42.395833,,,1.697,797.000,,REPSOL,L-D: 24H
PONTEVEDRA,VIGO,VIGO,36202,AVDA. DE BEIRAMAR 61,-8.617904,42.296598,,,,,709.000,REPSOL,L-D: 24H
PONTEVEDRA,VIGO,VIGO,36208,MUELLE DE REPARACIONES DE BOUZAS S/N,-8.743111,42.230861,1.900,,1.780,,,MARINA DAVILA,L-D: 08:00-22:00
PONTEVEDRA,VIGO,VIGO,36207,BAJADA A LA LAGOA S/N,-8.707083,42.256194,2.050,,2.000,,,REPSOL,L: 09:00-20:00
PONTEVEDRA,VILAGARCÍA DE AROUSA,VILAXOAN,36611,PUERTO DE VILAXOAN S/N.,-8.791333,42.589472,1.699,,1.579,1032.000,,E.S. PORTO DE VILAXOAN,L-V: 08:00-13:30 y 15:00-19:30; S: 08:00-13:00 y 15:00-18:00
PONTEVEDRA,VILANOVA DE AROUSA,VILANOVA DE AROUSA,36620,PUERTO DE VILANOVA S/N,-8.834611,42.564667,1.619,,1.579,1032.000,,CARBURANTES PORTO DE VILANOVA,L-V: 08:00-15:00; S: 09:00-14:00
