Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,CAUDETE,CAUDETE,02660,CARRETERA N-344 KM. 114500,I,-0.974778,38.710861,05/11/2023 22:32,,,,,,1.614,,1.274,,,,,,,,,,TRANSPORTES CAUDETE,L-D: 24H
ALBACETE,CAUDETE,CAUDETE,02660,CR N-330 714,I,-0.955833,38.756417,12/11/2023 00:00,1.609,,,1.739,,1.649,1.699,1.284,,,,,,,,,,REPSOL,L-D: 06:00-23:00
ALBACETE,CAUDETE,CAUDETE,02660,CARRETERA D12 ESTACION KM. 1,D,-0.973861,38.710750,06/11/2023 12:15,,,,,,,,,,,,,,,,1.042,,HAM,L-D: 24H
ALBACETE,CAUDETE,CAUDETE,02660,CARRETERA D-12 ESTACION KM. 32,D,-0.971639,38.711694,11/11/2023 00:05,1.609,,,,,1.589,,1.259,,,,,,,,,,VILA Y FAYOS ,L-D: 24H
ALBACETE,CENIZATE,CENIZATE,02247,CALLE VIRGEN DE LAS NIEVES 17,D,-1.664167,39.301000,07/11/2023 17:23,1.502,,,,,1.509,,1.213,,,,,,,,,,VIRGEN DE LAS NIEVES,L-D: 24H
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,AUTOVIA A-31 KM. 86,D,-1.758000,38.937583,12/11/2023 00:00,1.619,,,1.769,,1.649,1.699,,,,,,,0.939,,,,REPSOL,L-D: 06:00-23:00
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,AUTOVIA A-31 KM. 86,I,-1.757611,38.938611,12/11/2023 00:00,1.619,,,,,1.649,1.699,,,,,,,0.939,,,,REPSOL,L-D: 06:00-23:00
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,Ctra. AB-430 KM 5303,I,-1.726278,38.915972,12/11/2023 00:00,1.629,,,1.739,,1.649,1.699,,,,,,,,,,,REPSOL,L: 06:00-22:00
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,POZO BUENO,02510,CL AVENIDA GENERALISIMO 107 (N-301 km 276),I,-1.731861,38.803389,12/11/2023 00:00,1.619,,1.659,,,1.679,1.729,,,,,,,,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,VILLAR DE CHINCHILLA,02695,AUTOVIA A31 KM. 111,N,-1.502806,38.898306,09/11/2023 06:00,1.679,,,1.829,,1.689,1.789,,,,,,,,,,,CEPSA,L-V: 06:00-22:00; S-D: 07:00-22:00
ALBACETE,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,02430,CL BOLEA 36 (CM-412 km 23565),D,-2.044778,38.451306,12/11/2023 00:00,1.629,,,1.759,,1.669,1.719,1.342,,,,,,,,,,CAMPSA,L: 06:00-22:00
